,pref_voter_id,year,race,first_report_seen,vote_rank,candidate
10644,104808,2018,BOS,4,[1],['RAFAEL MANDELMAN']
10645,104809,2018,BOS,4,"[1, 2, 3]","['RAFAEL MANDELMAN', 'JEFF SHEEHY', ""LAWRENCE ''STARK'' DAGESSE""]"
10646,104810,2018,BOS,4,"[1, 2, 3]","['RAFAEL MANDELMAN', 'JEFF SHEEHY', ""LAWRENCE ''STARK'' DAGESSE""]"
10647,104811,2018,BOS,4,"[1, 2, 3]","['RAFAEL MANDELMAN', 'JEFF SHEEHY', ""LAWRENCE ''STARK'' DAGESSE""]"
10648,104812,2018,BOS,4,"[1, 2, 3]","['JEFF SHEEHY', 'RAFAEL MANDELMAN', ""LAWRENCE ''STARK'' DAGESSE""]"
10649,104813,2018,BOS,4,"[1, 2, 3]","['RAFAEL MANDELMAN', 'JEFF SHEEHY', ""LAWRENCE ''STARK'' DAGESSE""]"
10650,104814,2018,BOS,4,"[1, 2]","['RAFAEL MANDELMAN', ""LAWRENCE ''STARK'' DAGESSE""]"
10651,104815,2018,BOS,4,"[1, 2]","['RAFAEL MANDELMAN', 'JEFF SHEEHY']"
10652,104816,2018,BOS,4,[1],['RAFAEL MANDELMAN']
10653,104817,2018,BOS,4,[1],['RAFAEL MANDELMAN']
10654,104818,2018,BOS,4,"[1, 2]","['JEFF SHEEHY', 'RAFAEL MANDELMAN']"
10655,104819,2018,BOS,4,"[1, 2]","['JEFF SHEEHY', ""LAWRENCE ''STARK'' DAGESSE""]"
10656,104820,2018,BOS,4,"[1, 2]","['RAFAEL MANDELMAN', 'JEFF SHEEHY']"
10657,104821,2018,BOS,4,"[1, 2, 3]","['RAFAEL MANDELMAN', 'JEFF SHEEHY', ""LAWRENCE ''STARK'' DAGESSE""]"
10658,104822,2018,BOS,4,[1],['RAFAEL MANDELMAN']
10659,104823,2018,BOS,4,[1],['RAFAEL MANDELMAN']
10660,104824,2018,BOS,4,[1],['RAFAEL MANDELMAN']
10661,104825,2018,BOS,4,"[1, 2]","['RAFAEL MANDELMAN', 'JEFF SHEEHY']"
10662,104826,2018,BOS,4,"[1, 2]","['RAFAEL MANDELMAN', 'JEFF SHEEHY']"
